date,USD,EUR,GBP
2024-12-20,41.9292,43.577,52.8811
2024-12-21,41.9292,43.577,52.8811
2024-12-22,41.9292,43.577,52.8811
2024-12-23,41.8761,43.5114,52.3765
2024-12-24,41.991,43.6454,52.5853
2024-12-25,41.9875,43.6334,52.6985
2024-12-26,41.8623,43.5159,52.4074
2024-12-27,41.8447,43.5122,52.3896
2024-12-28,41.8447,43.5122,52.3896
2024-12-29,41.8447,43.5122,52.3896
2024-12-30,41.9403,43.7479,52.656
2024-12-31,42.039,43.9266,52.946
2025-01-01,42.0295,43.6855,52.6777
2025-01-02,41.9725,43.6052,52.5118
2025-01-03,42.0385,43.3753,52.2076
2025-01-04,42.0385,43.3753,52.2076
2025-01-05,42.0385,43.3753,52.2076
2025-01-06,42.0889,43.3347,52.2197
2025-01-07,42.1959,43.9091,52.8862
2025-01-08,42.2297,43.8767,52.9075
2025-01-09,42.2361,43.4272,52.1151
2025-01-10,42.2825,43.5594,51.9589
2025-01-11,42.2825,43.5594,51.9589
2025-01-12,42.2825,43.5594,51.9589
2025-01-13,42.2841,43.5738,52.0771
2025-01-14,42.2692,43.1273,51.2556
2025-01-15,42.2734,43.3218,51.4193
2025-01-16,42.2659,43.5297,51.6088
2025-01-17,42.1729,43.32,51.4341
2025-01-18,42.1729,43.32,51.4341
2025-01-19,42.1729,43.32,51.4341
2025-01-20,42.1257,43.3684,51.3428
2025-01-21,42.1551,43.4998,51.4124
2025-01-22,42.1661,43.6419,51.6134
2025-01-23,42.0325,43.8735,51.9333
2025-01-24,41.9751,43.6709,51.6923
2025-01-25,41.9751,43.6709,51.6923
2025-01-26,41.9751,43.6709,51.6923
2025-01-27,41.9253,43.9168,52.0251
2025-01-28,41.9479,44.146,52.5041
2025-01-29,42.0195,43.7843,52.2218
2025-01-30,41.9294,43.6192,52.0931
2025-01-31,41.8242,43.5097,52.0147
2025-02-01,41.8242,43.5097,52.0147
2025-02-02,41.8242,43.5097,52.0147
2025-02-03,41.7263,43.3244,51.8303
2025-02-04,41.7908,42.8627,51.5719
2025-02-05,41.7558,43.117,51.8357
2025-02-06,41.6584,43.4081,52.2292
2025-02-07,41.4897,42.9792,51.3228
2025-02-08,41.4897,42.9792,51.3228
2025-02-09,41.4897,42.9792,51.3228
2025-02-10,41.4733,43.0327,51.6197
2025-02-11,41.5936,42.8955,51.5241
2025-02-12,41.6696,43.0114,51.5786
2025-02-13,41.7927,43.3557,52.0444
2025-02-14,41.7996,43.4361,52.1178
2025-02-15,41.7996,43.4361,52.1178
2025-02-16,41.7996,43.4361,52.1178
2025-02-17,41.6299,43.5907,52.3891
2025-02-18,41.5554,43.5168,52.3369
2025-02-19,41.5705,43.4661,52.331
2025-02-20,41.6814,43.4737,52.4685
2025-02-21,41.7316,43.5511,52.586
2025-02-22,41.7316,43.5511,52.586
2025-02-23,41.7316,43.5511,52.586
2025-02-24,41.5919,43.5093,52.5701
2025-02-25,41.7015,43.6448,52.694
2025-02-26,41.7358,43.7892,52.8146
2025-02-27,41.639,43.6252,52.6442
2025-02-28,41.514,43.4942,52.5962
2025-03-01,41.514,43.4942,52.5962
2025-03-02,41.514,43.4942,52.5962
2025-03-03,41.4313,43.1134,52.1952
2025-03-04,41.5911,43.5417,52.7625
2025-03-05,41.5782,43.8775,53.0018
2025-03-06,41.368,44.2493,53.0069
2025-03-07,41.2742,44.5596,53.1818
2025-03-08,41.2742,44.5596,53.1818
2025-03-09,41.2742,44.5596,53.1818
2025-03-10,41.2127,44.7281,53.2015
