id,loan_amount,loan_days,age,monthly_income,dti,score_raw,rating,recommendation,fraud_score,fraud_risk,binary_decision,ml_probability,target,cluster
154,1300,30,32.6,9700,0.10309278350515463,427,C,Requires manual review,0,Clean,1,0.7677628678413454,1,0
155,4000,30,48.6,5000,0.8,375,C,Requires manual review,0,Clean,1,0.7716235792695607,1,0
156,500,30,26.0,2500,0.6,373,C,Requires manual review,0,Clean,1,0.7082332146884694,1,0
157,2500,30,33.9,14000,0.39285714285714285,415,C,Requires manual review,0,Clean,1,0.7545624475034843,1,0
158,1000,29,33.3,15000,0.3333333333333333,429,C,Requires manual review,0,Clean,1,0.7517845191256641,1,0
159,3000,30,42.7,18200,0.8159340659340659,395,C,Requires manual review,0,Clean,1,0.6919048527244336,1,0
160,1000,30,21.1,4000,0.25,378,C,Requires manual review,0,Clean,1,0.6285488694811218,0,0
161,4000,30,34.9,20000,0.5,443,B,Conditionally approve,0,Clean,1,0.7077065107268363,1,0
162,1500,26,24.4,15000,0.62,372,C,Requires manual review,3,Medium,1,0.7541782671369682,1,0
163,5000,14,40.3,16000,0.2,420,C,Requires manual review,0,Clean,1,0.7544840581209362,1,0
164,3500,30,43.8,5500,0.9090909090909091,404,C,Requires manual review,0,Clean,1,0.6782074093244786,0,0
165,5000,10,44.5,9000,0.6111111111111112,420,C,Requires manual review,0,Clean,1,0.7545207829296011,1,0
166,1500,30,25.5,12000,0.6666666666666666,403,C,Requires manual review,0,Clean,1,0.7736690645114784,1,0
167,1000,30,29.7,13000,0.5384615384615384,440,B,Conditionally approve,0,Clean,1,0.7573674805689896,1,0
168,1000,30,22.1,6000,0.6666666666666666,342,D,Reject,1,Low,1,0.7560926920168419,1,0
169,2000,18,28.4,12000,0.2916666666666667,441,B,Conditionally approve,1,Low,1,0.6195277112088868,0,0
170,2500,10,28.1,11000,1.0,414,C,Requires manual review,0,Clean,1,0.7545869594695858,1,0
171,2600,30,28.3,9500,0.3684210526315789,420,C,Requires manual review,0,Clean,1,0.7618315283351957,1,0
172,1500,30,32.7,15000,0.8,384,C,Requires manual review,0,Clean,1,0.7575604600889198,1,0
173,800,16,28.9,5000,0.7,402,C,Requires manual review,0,Clean,1,0.7544985712996969,1,0
174,700,29,24.7,11000,0.7272727272727273,402,C,Requires manual review,0,Clean,1,0.6907567827912571,1,0
175,2500,30,26.9,12000,0.5,459,B,Conditionally approve,0,Clean,1,0.6811608615785248,0,0
176,1000,30,57.0,9000,0.5555555555555556,429,C,Requires manual review,0,Clean,1,0.7677877972640658,1,0
177,800,25,24.5,7150,0.4195804195804196,395,C,Requires manual review,0,Clean,1,0.7531003845639282,1,0
178,3500,30,42.2,40000,0.875,370,D,Requires manual review,3,Medium,1,0.6838501325696308,1,0
179,1000,15,25.7,7500,0.4266666666666667,404,C,Requires manual review,0,Clean,1,0.7686796225148794,1,0
180,500,30,30.1,7000,0.5714285714285714,397,C,Requires manual review,0,Clean,1,0.7612940691290324,1,0
181,2050,17,38.2,15000,0.72,395,C,Requires manual review,0,Clean,1,0.7419854004682682,1,0
182,3000,15,29.5,10500,0.3333333333333333,432,B,Conditionally approve,0,Clean,1,0.7374544328929594,0,0
183,3500,14,41.4,25000,0.56,400,C,Requires manual review,0,Clean,1,0.754500114376974,1,0
184,2000,21,45.9,7000,0.5,410,C,Requires manual review,0,Clean,1,0.7658364003557426,1,0
185,1000,30,22.7,3100,0.5741935483870968,342,D,Reject,0,Clean,1,0.7447997313556297,1,0
186,500,3,35.5,4200,0.7857142857142857,370,D,Requires manual review,0,Clean,1,0.7545763406758231,1,0
187,4000,10,41.7,20000,0.75,412,C,Requires manual review,0,Clean,1,0.6459152146642596,0,0
188,1000,30,20.1,10000,0.6,369,D,Reject,0,Clean,1,0.7251092327342369,0,0
189,1000,30,21.5,7500,0.26666666666666666,379,C,Requires manual review,0,Clean,1,0.7193855123497888,1,0
190,3600,4,27.9,7600,0.2631578947368421,425,C,Requires manual review,0,Clean,1,0.6105489727355802,0,0
191,2500,30,25.3,5500,0.36363636363636365,386,C,Requires manual review,3,Medium,1,0.6175453915522638,0,0
192,1000,7,21.3,8000,1.25,322,D,Reject,0,Clean,1,0.7545454682682042,1,0
193,1000,30,29.1,8700,0.11494252873563218,422,C,Requires manual review,0,Clean,1,0.754479159191181,1,0
194,5000,30,24.2,10000,0.2,416,C,Requires manual review,0,Clean,1,0.753968545765993,1,0
195,2000,14,31.8,19000,0.2631578947368421,444,B,Conditionally approve,0,Clean,1,0.6471152929600378,0,0
196,900,5,35.9,6500,0.6923076923076923,400,C,Requires manual review,0,Clean,1,0.7380691830478094,1,0
197,3500,25,28.6,10000,0.6,412,C,Requires manual review,0,Clean,1,0.7810525606396481,0,0
198,5000,30,28.2,8000,0.475,415,C,Requires manual review,0,Clean,1,0.7390945183456428,0,0
199,1500,20,26.0,1200,4.166666666666667,305,D,Reject,4,Medium,1,0.7545622098385399,1,0
200,800,20,26.8,14700,0.8163265306122449,399,C,Requires manual review,3,Medium,1,0.7545289531511504,1,0
201,1500,21,24.7,8000,0.5,395,C,Requires manual review,1,Low,1,0.6857075601080216,1,0
202,1000,5,37.7,12000,0.6666666666666666,387,C,Requires manual review,1,Low,1,0.6440689776972385,0,0
203,1400,30,32.9,6500,0.38461538461538464,436,B,Conditionally approve,0,Clean,1,0.7545775603071926,1,0
204,2900,10,43.2,7000,1.0357142857142858,362,D,Reject,0,Clean,1,0.7545399067865451,1,0
205,1000,30,21.3,4000,1.0,327,D,Reject,1,Low,1,0.7002789218861177,1,0
206,1500,20,30.8,7000,0.7714285714285715,382,C,Requires manual review,0,Clean,1,0.7567346588640851,1,0
207,1500,6,32.8,25000,0.4,432,B,Conditionally approve,0,Clean,1,0.7463176633017603,1,0
208,700,5,40.3,35000,0.2571428571428571,428,C,Requires manual review,2,Low,1,0.6387597513967549,0,0
209,1000,30,40.9,8000,0.25,429,C,Requires manual review,0,Clean,1,0.7239891259752783,0,0
210,3900,30,32.4,10000,0.5,432,B,Conditionally approve,0,Clean,1,0.7670490614671412,1,0
211,2400,10,27.9,10000,0.3,450,B,Conditionally approve,0,Clean,1,0.7545153717474828,1,0
212,2500,30,23.2,12000,0.4166666666666667,421,C,Requires manual review,0,Clean,1,0.6370927486217763,0,0
213,2000,21,29.2,10000,0.2,465,B,Conditionally approve,0,Clean,1,0.7373665303884658,1,0
