id,source_id,source_name,title,body,category,sentiment,published,day,hour,week_day
29,bbc,BBC News,Laufey on making jazz cool again (and the fish that brought out her inner rage),"The Icelandic star reflects on a phenomenal year, and the music video that let her go ""primal"".",Culture,positive,2026-05-02T23:05:34+00:00,2026-05-02,23,Saturday
6,bbc,BBC News,The clandestine network smuggling Starlink tech into Iran to beat internet blackout,"Sahand tells the BBC World Service he sends satellite internet terminals into Iran to help show ""the real picture"".",War/Security,negative,2026-05-02T23:17:17+00:00,2026-05-02,23,Saturday
5,bbc,BBC News,The Iran war has strengthened Ukraine in surprising ways. Could a ceasefire with Russia be closer?,President Zelensky has been visiting the Gulf to demonstrate his country's military nous.,Culture,neutral,2026-05-02T23:19:27+00:00,2026-05-02,23,Saturday
9,dw,Deutsche Welle,Iran war: Trump says reviewing new Tehran proposal with doubt,"US President Donald Trump has said he ""can't imagine"" the proposal is acceptable. Tehran said the ""ball is in the US' court"" to choose whether to pursue diplomacy or confrontation. DW has more.",Culture,negative,2026-05-03T01:38:00+00:00,2026-05-03,1,Sunday
8,dw,Deutsche Welle,North Korea rejects US cybercrime claims as 'absurd slander',"Pyongyang refutes allegations of hacking and crypto theft, even as a UN panel estimated billions stolen by North Korea-linked cyberattacks.",Culture,negative,2026-05-03T04:03:00+00:00,2026-05-03,4,Sunday
35,bbc,BBC News,How we reported in -30C temperatures in Canada's Arctic,BBC's Nadine Yousif and Eloise Alanna spent five days travelling with the country's military rangers through frostbite and sub-zero temperatures.,Society,neutral,2026-05-03T04:30:41+00:00,2026-05-03,4,Sunday
4,euronews,Euronews,"Latest news bulletin | May 3rd, 2026 – Morning","Catch up with the most important stories from around Europe and beyond this May 3rd, 2026 - latest news, breaking news, World, Business, Entertainment, Politics, Culture, Travel.",Culture,positive,2026-05-03T05:00:33+00:00,2026-05-03,5,Sunday
4,bbc,BBC News,Man charged with murder and sexual assault of 5-year-old Australian girl,The girl's death sparked an outbreak of violence in the central Australian town from where she disappeared.,Culture,negative,2026-05-03T05:52:09+00:00,2026-05-03,5,Sunday
7,dw,Deutsche Welle,Where Germany's economy still excels,"German industry is being lapped in key sectors like solar panels, semiconductors and even cars — but the country's midsize businesses suggest the economy isn't losing its edge.",Economy,positive,2026-05-03T05:58:00+00:00,2026-05-03,5,Sunday
3,euronews,Euronews,Trump says Iran has 'not yet paid a big enough price' as he reviews new peace proposal,"The US president had earlier in the week refused another Iranian proposal, saying Tehran is not willing to give Washington what it “needs to have” to strike a deal.",Culture,positive,2026-05-03T06:29:55+00:00,2026-05-03,6,Sunday
27,bbc,BBC News,Kenya battles to stop the 'goons and guns' as fears of political violence grow,More than 100 gangs are operating nationwide as the growing use of political thugs raises fears of election violence.,War/Security,negative,2026-05-03T06:57:44+00:00,2026-05-03,6,Sunday
6,dw,Deutsche Welle,Trump says cutting US troops in Germany 'a lot further',"Germany's defense minister has said Europe needs to take more responsibility for its own security. Top Republicans warn reducing troop numbers sends the ""wrong signal"" to Russian President Vladimir Putin.",War/Security,negative,2026-05-03T07:00:00+00:00,2026-05-03,7,Sunday
2,euronews,Euronews,"Trump says US will reduce troop presence in Germany 'a lot further' than initial 5,000 withdrawal","Trump indicated without sharing details that a substantial further reduction of US troop presence in Germany was imminent, just a day after the Pentagon announced a withdrawal of 5,000 soldiers. Trump has also threatened earlier in the week to rollback troops in Spain and Italy.",Economy,negative,2026-05-03T07:09:34+00:00,2026-05-03,7,Sunday
5,dw,Deutsche Welle,Millions sway as free Shakira concert lights up Copacabana,"The Colombian superstar delivers one of the biggest shows of her career, as fans flock from Brazil and beyond for her ""Women No Longer Cry"" world tour.",Culture,negative,2026-05-03T07:55:00+00:00,2026-05-03,7,Sunday
34,bbc,BBC News,Huge crowd attends free Shakira Copacabana beach concert,"Shakira's appearance followed shows by Lady Gaga and Madonna, who have also performed on Copacabana beach in previous years.",Culture,positive,2026-05-03T07:56:47+00:00,2026-05-03,7,Sunday
4,dw,Deutsche Welle,Germany news: Majority thinks coalition government doomed — survey,More than half of people in Germany believe the coalition government will collapse before its term is up. The head of a leading economic think tank says US tariffs could trigger a German recession. DW has more.,Economy,negative,2026-05-03T08:39:00+00:00,2026-05-03,8,Sunday
0,bbc,BBC News,"Germany troop cuts send wrong signal to Russia, say two top US Republicans","The chairs of the House and Senate armed services committees said withdrawing 5,000 service personnel risked undermining deterrence.",Politics,negative,2026-05-03T08:41:23+00:00,2026-05-03,8,Sunday
3,dw,Deutsche Welle,Philippines' Mayon volcano spews ash — Pictures,"The most active volcano in the Philippines is erupting, sending lava down its slope and covering surrounding villages in ash.",Society,positive,2026-05-03T09:22:00+00:00,2026-05-03,9,Sunday
